,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
41,20.420289999999998,21.3344,21.00614,21.070710000000002,20.15906,,20.33287,21.30179,20.28331,20.81394,20.054170000000003,
42,22.51217,22.60623,21.55412,23.62678,22.828000000000003,23.70936,23.29642,21.99841,22.46508,22.741020000000002,23.0612,23.234820000000003
43,20.3308,20.704720000000002,20.83869,21.3019,20.21774,21.43441,22.87927,21.01339,20.84015,20.373479999999997,21.96275,
44,,,,,,,,,,19.60576,,21.26436
45,25.60975,25.74224,25.8138,25.89386,25.352120000000003,26.16666,25.94891,25.74289,25.56993,25.54531,25.61897,25.898970000000002
46,33.890029999999996,33.75593,33.995979999999996,33.07032,32.33242,32.961909999999996,33.93227,33.75424,33.72141,32.91024,32.78583,33.27545
47,24.80858,24.9428,24.825029999999998,25.40009,24.15097,24.9232,25.82641,25.00517,24.07537,23.3453,23.36506,24.80892
48,,20.38448,20.24342,,,,20.501839999999998,,20.30764,,20.47635,
49,24.36399,24.489279999999997,23.73314,24.07863,23.71931,24.5491,24.64559,24.316029999999998,24.039260000000002,24.10398,24.29775,23.885579999999997
50,23.35595,23.18477,23.57773,23.72952,22.53177,24.24213,23.3581,23.2856,22.6751,23.14503,23.6479,23.42969
51,27.253770000000003,27.235259999999997,27.34181,27.652390000000004,27.152479999999997,28.018079999999998,27.61968,27.54267,27.75283,27.15721,27.19009,27.2936
52,24.45645,24.06373,24.37312,24.99951,23.71251,24.864620000000002,24.278029999999998,24.30145,23.95198,24.017329999999998,24.02479,24.31596
53,24.70788,25.15796,25.10278,25.25631,24.330189999999998,25.31154,25.13465,24.72552,24.75047,25.28164,24.8893,25.16204
54,20.1442,21.064339999999998,21.39827,20.77354,20.12981,21.15295,22.02925,20.97449,,20.560389999999998,21.1881,21.866310000000002
55,23.325670000000002,24.06126,23.96728,24.20015,23.61583,24.16676,23.95917,23.93688,23.54156,23.75154,23.85424,23.872770000000003
56,21.36661,21.43619,21.4765,20.53744,21.02972,21.709229999999998,21.79867,20.73777,20.438879999999997,,19.73339,20.18785
57,,22.07914,20.6109,20.959220000000002,21.02587,21.911189999999998,20.98169,22.00535,21.9239,,20.31529,23.44518
58,22.86242,23.15618,22.99077,21.40587,21.814329999999998,21.52936,23.34204,20.80049,22.5464,23.03875,22.970879999999998,23.057170000000003
59,27.484540000000003,27.13046,27.046870000000002,27.1673,26.67223,27.45717,27.29842,27.41248,26.85055,27.15083,27.22002,26.86797
60,30.2135,29.85384,30.22699,30.394990000000004,29.756829999999997,30.34477,30.67741,28.83274,29.403570000000002,29.5224,29.098259999999996,29.85417
61,21.65307,21.206220000000002,22.72165,21.474870000000003,19.73965,23.130489999999998,21.54435,,21.517879999999998,21.8459,22.0491,21.76846
62,23.59104,23.16564,24.353939999999998,23.69466,23.68571,24.30069,24.28623,23.861079999999998,23.647679999999998,23.39034,23.46712,24.16408
63,20.62444,21.702270000000002,21.22964,21.3921,21.189239999999998,21.91339,21.56188,23.00554,22.04093,22.10345,21.86439,21.11127
64,22.48675,22.10977,23.15943,23.93445,22.34411,21.99459,21.70303,22.46777,22.760379999999998,23.61986,23.5899,22.808310000000002
65,24.00153,24.55707,24.66324,24.48714,24.04877,24.000410000000002,24.52964,24.3234,23.772129999999997,24.14647,24.26549,24.65223
66,25.4602,25.54634,25.544420000000002,26.032420000000002,25.26119,26.008229999999998,25.671120000000002,25.76944,25.54395,25.4801,25.09607,25.73226
67,23.03592,22.08021,22.27929,21.44673,21.286579999999997,22.74255,22.88441,21.93808,20.80033,21.13815,21.63139,22.0345
